model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,brier_score_mean,brier_score_std,roc_auc,pr_auc,f1,recall,precision,brier_score
logistic_regression,0.978444540797482,0.006729412105240583,0.8636921033239741,0.053289524610489934,0.6466745011467238,0.06240979352745964,0.9882352941176471,0.02352941176470589,0.4834029954719609,0.06702556583192615,0.15398354822427351,0.010206898365464649,0.9773329408301442,0.8532540884596688,0.6415094339622641,0.9883720930232558,0.4748603351955307,0.1540037356095065
random_forest,0.9705310658251836,0.012739958375551726,0.7849968546082794,0.09929101436658899,0.8190498134015464,0.05973365107366243,0.9300653594771242,0.023889760630715125,0.7361180223285486,0.09078880741154674,0.050679607379774706,0.013606551510012032,0.9696160477732454,0.7577564873260672,0.8163265306122449,0.9302325581395349,0.7272727272727273,0.050705017410623145
gradient_boosting,0.9706849095084389,0.018327348993199568,0.8823393555733985,0.05577062124790959,0.7763746940217529,0.0650688050483163,0.8026143790849674,0.058663544241351284,0.7553508771929824,0.08845672491229774,0.0561835505180794,0.014518957679122275,0.970625341688044,0.8687821549995917,0.7752808988764045,0.8023255813953488,0.75,0.05621253732193129
xgboost,0.9780756692521398,0.011446536922042456,0.9031955748516346,0.03837388407157151,0.7958956329688037,0.06609515908989262,0.9300653594771242,0.023889760630715125,0.7003209109730848,0.0939887927041569,0.05498330357072959,0.01570129950971036,0.9783632617015015,0.9071691721042422,0.7920792079207921,0.9302325581395349,0.6896551724137931,0.05500458874223645
