draft_round,draft_pick,team,player_name,Pos,age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,rec_yards,rec_td,Int,Att.1,Yds.1,TD.1,rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,rookie_year,Unnamed: 0,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,routes_run,targeted_qb_rating,targets,yac,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,"1,000 Yard Seasons",contested_catch_pct,drop_rate,grades_hands_drop,player_name_rec,player_id,position,team_rec,player_game_count,avg_depth_of_target_rec,avoided_tackles_rec,caught_percent_rec,contested_catch_pct_rec,contested_receptions,contested_targets,declined_penalties,drop_rate_rec,drops,first_downs,franchise_id,fumbles,grades_hands_drop_rec,grades_hands_fumble,grades_offense_rec,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest_rec,pass_block_rate,pass_blocks,pass_plays,penalties,rec_rec,route_rate,routes_run_rec,slot_rate,slot_snaps,targeted_qb_rating_rec,targets_rec,rec_td_rec,wide_rate,wide_snaps,rec_yards_rec,yac_rec,yards_after_catch_per_reception_rec,yards_per_reception_rec,yprr_rec,season,has_1000_yard_season,thousand_yard_seasons,catch_rate,yards_per_route_run
4.0,109.0,PHI,Jason Avant,WR,23.0,2015.0,0.0,0.0,3.0,29.0,25.0,148.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,346.0,4118.0,13.0,22.0,,,Michigan,College Stats,AvanJa00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
4.0,111.0,BAL,Demetrius Williams,WR,23.0,2010.0,0.0,0.0,0.0,9.0,9.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1008.0,4.0,,,,Oregon,College Stats,WillDe03,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
4.0,119.0,DEN,Brandon Marshall,WR,22.0,2018.0,1.0,6.0,10.0,83.0,27.0,179.0,0.0,1.0,0.0,0.0,0.0,20.0,118.0,0.0,970.0,12351.0,83.0,6.0,,,Central Florida,College Stats,MarsBr00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,0.0
4.0,125.0,DAL,Skyler Green,WR,21.0,2008.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,33.0,0.0,,,,LSU,College Stats,GreeSk20,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
4.0,130.0,DEN,Domenik Hixon,WR,21.0,2013.0,0.0,0.0,0.0,17.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,109.0,1460.0,7.0,27.0,,,Akron,College Stats,HixoDo00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5.0,144.0,STL,Marques Hagans,WR,23.0,2008.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,5.0,0.0,0.0,3.0,-2.0,0.0,9.0,108.0,0.0,,,,Virginia,College Stats,HagaMa00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.5555555555555556,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
6.0,171.0,NOR,Mike Hass,WR,23.0,2009.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Oregon St.,College Stats,HassMi00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
6.0,172.0,TEN,Jonathan Orr,WR,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,Wisconsin,College Stats,-9999,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
6.0,175.0,SFO,Delanie Walker,WR,22.0,2019.0,0.0,3.0,7.0,39.0,8.0,183.0,0.0,0.0,0.0,0.0,0.0,16.0,89.0,1.0,504.0,5888.0,36.0,37.0,,,Central Missouri St.,,WalkHu00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0
6.0,184.0,ATL,Adam Jennings,WR,23.0,2009.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,6.0,62.0,1.0,11.0,,,Fresno St.,College Stats,JennAd00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
