model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,brier_score_mean,brier_score_std,roc_auc,pr_auc,f1,recall,precision,brier_score
logistic_regression,0.978444540797482,0.006729412105240583,0.8636921033239741,0.053289524610489934,0.6466745011467238,0.06240979352745964,0.9882352941176471,0.02352941176470589,0.4834029954719609,0.06702556583192615,0.15398215274008245,0.01020583673255241,0.9773329408301442,0.8532540884596688,0.6415094339622641,0.9883720930232558,0.4748603351955307,0.154002337604544
random_forest,0.9721387162563634,0.010580960727903523,0.805707890967622,0.0889414912073299,0.8168594563331405,0.05512021771764921,0.9183006535947712,0.029375431443456515,0.7405559947299079,0.08796018472193153,0.04604910788304963,0.01103885392486521,0.9726439295176417,0.7936639733811541,0.8144329896907216,0.9186046511627907,0.7314814814814815,0.04606828732049576
gradient_boosting,0.9702937161760691,0.01833259362428412,0.8687785796860557,0.055248674612640554,0.7818329607803292,0.07716011747143323,0.8254901960784313,0.06455716718884048,0.7459943977591037,0.10065488705475456,0.050107571861748426,0.01559644285030734,0.9724757138651751,0.8759364209789963,0.7802197802197802,0.8255813953488372,0.7395833333333334,0.05013221590874916
xgboost,0.9791474362062598,0.008898104077082003,0.9019221815727573,0.03271935087043115,0.7958956329688037,0.06609515908989262,0.9300653594771242,0.023889760630715125,0.7003209109730848,0.0939887927041569,0.05526419992681745,0.01490248681304318,0.9790781782244837,0.9028829647393166,0.7920792079207921,0.9302325581395349,0.6896551724137931,0.055284551382668634
